Source IP          Destination IP     Flow Size
0.195.194.215      6.171.156.134      20           
0.195.194.219      101.148.186.53     23           
0.195.194.219      101.151.53.78      18           
0.195.194.219      102.44.99.55       13           
0.195.194.219      102.83.132.72      7            
0.195.194.219      102.83.164.41      14           
0.195.194.219      102.83.171.128     25           
0.195.194.219      103.36.230.199     12           
0.195.194.219      144.87.235.136     10           
0.195.194.219      159.228.70.210     17           
0.195.194.219      159.58.72.3        11           
0.195.194.219      192.64.132.93      19           
0.195.194.219      192.65.156.78      10           
0.195.194.219      192.65.41.243      11           
0.195.194.219      192.66.98.220      20           
0.195.194.219      213.154.105.69     27           
0.195.194.219      213.159.184.234    22           
0.195.194.219      213.159.186.254    99           
0.195.194.219      213.159.70.243     17           
0.195.194.219      213.159.71.70      24           
0.195.194.219      220.80.166.173     17           
0.195.194.219      220.80.83.158      1            
0.195.194.219      220.81.107.117     15           
0.195.194.219      220.81.223.16      28           
0.195.194.219      220.83.174.206     4            
0.195.194.219      220.87.46.30       4            
0.195.194.219      221.116.35.219     12           
0.195.194.219      222.60.158.254     13           
0.195.194.219      222.62.186.232     1            
0.195.194.219      246.254.97.109     18           
0.195.194.219      247.157.79.161     4            
0.195.194.219      248.239.187.48     14           
0.195.194.219      30.233.196.103     2            
0.195.194.219      30.233.196.162     3            
0.195.194.219      30.233.196.93      1            
0.195.194.219      30.233.73.166      1            
0.195.194.219      30.233.73.24       1            
0.195.194.219      30.233.73.255      6            
0.195.194.219      30.233.73.43       2            
0.195.194.219      44.254.112.244     16           
0.195.194.219      50.185.216.217     3            
0.195.194.219      50.189.221.231     5            
0.195.194.219      50.191.127.202     4            
0.195.194.219      6.16.1.253         41           
0.195.194.219      6.170.172.80       11           
0.195.194.219      6.245.176.198      13           
0.195.194.219      97.120.118.236     28           
0.195.194.219      97.120.201.162     11           
0.195.194.219      98.217.110.152     13           
0.195.194.222      133.200.250.167    2            
0.195.194.222      222.56.118.82      3            
0.195.194.222      222.60.123.67      15           
0.195.194.222      89.183.104.238     141          
0.195.199.1        89.183.104.224     236          
0.195.199.16       89.183.104.224     58           
0.195.199.20       136.217.123.217    10           
0.195.199.20       138.73.154.202     15           
0.195.199.20       139.207.175.96     10           
0.195.199.20       144.87.235.222     14           
0.195.199.20       145.254.25.124     5            
0.195.199.20       192.65.156.78      10           
0.195.199.20       213.154.106.212    9            
0.195.199.20       213.159.189.30     14           
0.195.199.20       213.159.191.176    15           
0.195.199.20       213.186.148.207    5            
0.195.199.20       220.80.94.111      2            
0.195.199.20       243.175.133.118    24           
0.195.199.20       56.0.136.165       16           
0.195.199.20       6.189.131.33       4            
0.195.199.20       6.243.193.171      6            
0.195.199.20       91.251.121.112     23           
0.195.199.20       91.251.73.254      20           
0.195.199.20       91.69.172.136      35           
0.195.199.20       98.128.97.37       3            
0.195.199.20       99.175.127.233     6            
0.195.199.5        100.208.26.130     19           
0.195.199.5        101.148.25.27      25           
0.195.199.5        101.176.168.14     14           
0.195.199.5        101.68.169.185     27           
0.195.199.5        109.0.165.141      7            
0.195.199.5        136.217.123.217    23           
0.195.199.5        136.99.104.198     12           
0.195.199.5        144.90.199.146     6            
0.195.199.5        145.130.245.221    24           
0.195.199.5        159.228.70.210     9            
0.195.199.5        192.65.125.197     12           
0.195.199.5        213.154.105.139    9            
0.195.199.5        220.32.89.241      17           
0.195.199.5        220.34.34.248      18           
0.195.199.5        220.81.223.16      5            
0.195.199.5        241.246.206.132    20           
0.195.199.5        6.190.128.36       15           
0.195.199.5        6.75.198.207       6            
0.195.199.5        8.238.199.59       6            
0.195.199.5        80.42.214.252      3            
0.195.212.148      111.13.141.242     12           
0.195.212.148      228.43.26.115      32           
0.195.212.148      246.253.253.106    13           
0.195.212.148      246.254.97.105     17           
0.195.212.148      96.112.80.8        145          
0.195.212.149      98.212.195.238     46           
0.195.212.152      111.147.207.178    1133         
0.195.212.152      8.166.38.3         130          
0.195.212.152      8.167.155.10       84           
0.195.212.152      97.144.51.29       64           
0.195.212.152      98.212.195.238     251          
0.195.212.152      98.212.240.87      10           
0.195.212.155      111.146.84.108     63           
0.195.212.155      111.147.207.178    133          
0.195.212.155      89.183.104.224     10           
0.195.212.155      98.212.195.238     713          
0.195.219.10       159.134.160.243    14           
0.195.219.14       92.169.178.66      32           
0.195.219.23       101.144.15.65      13           
0.195.219.23       101.148.189.130    11           
0.195.219.23       101.148.76.186     15           
0.195.219.23       101.151.59.178     13           
0.195.219.23       145.15.59.211      6            
0.195.219.23       220.32.65.149      5            
0.195.219.23       80.10.47.231       3            
0.195.219.27       102.77.12.168      20           
0.195.219.27       159.52.7.19        3            
0.195.219.28       92.27.27.183       2            
0.195.219.30       102.66.83.53       1            
0.195.219.30       102.77.12.168      23           
0.195.219.71       92.169.178.66      237          
0.195.219.74       50.184.63.150      26           
0.195.219.74       50.186.167.60      2            
0.195.219.74       80.11.123.52       19           
0.195.219.82       102.77.12.168      27           
0.195.219.89       101.145.17.234     27           
0.195.219.89       102.79.16.56       10           
0.195.219.89       222.62.166.34      36           
0.33.169.230       220.34.36.177      561          
0.33.169.231       0.195.210.42       428          
0.33.169.231       220.34.36.177      760          
0.33.169.233       0.195.210.42       185          
0.33.169.233       220.34.36.177      341          
0.33.169.234       0.195.210.36       220          
0.33.169.234       0.195.210.42       303          
0.33.169.234       220.34.36.177      17           
0.33.169.235       0.195.210.42       282          
0.33.169.235       220.34.36.177      18           
0.33.169.236       0.195.210.36       52           
0.33.169.236       0.195.210.42       267          
0.33.169.237       0.195.210.42       274          
0.33.169.238       0.195.210.39       11           
0.33.169.238       0.195.210.42       292          
0.33.169.238       220.34.36.177      2            
0.33.169.239       0.195.210.42       402          
0.59.114.246       111.147.158.201    8            
10.162.27.153      50.224.90.146      265          
10.184.114.205     215.158.140.223    5            
10.184.114.205     215.158.140.92     5            
10.184.114.205     215.158.238.132    5            
10.184.141.191     215.158.140.230    7            
10.184.157.175     215.158.140.209    14           
10.184.221.80      50.224.90.231      12           
10.184.221.80      50.224.90.233      3            
10.184.221.80      50.224.90.234      5            
10.184.34.70       145.254.41.26      11           
10.184.34.70       220.221.64.77      4            
10.184.34.70       50.224.90.231      14           
10.184.37.64       50.224.90.225      38           
10.184.37.64       50.224.90.227      7            
100.108.161.230    89.183.104.247     9            
100.108.163.87     159.137.162.213    3            
100.108.164.1      89.183.104.138     3            
100.108.164.1      89.183.104.181     6            
100.108.164.1      89.183.104.254     6            
100.108.164.89     56.121.55.101      1            
100.108.165.12     129.252.122.143    1            
100.108.165.37     89.183.104.172     8            
100.108.168.14     89.183.104.131     3            
100.108.168.14     89.183.104.172     1            
100.108.168.14     89.183.104.251     3            
100.108.168.231    50.224.80.64       16           
100.108.168.235    89.183.104.153     3            
100.108.168.235    92.27.27.157       12           
100.108.168.235    92.27.27.179       3            
100.108.168.97     133.23.167.19      57           
100.108.170.253    50.224.76.236      4            
100.108.171.235    138.98.151.43      93           
100.108.173.206    89.183.104.251     4            
100.108.173.71     50.224.76.234      6            
100.108.174.60     92.27.27.169       9            
100.108.176.231    246.253.168.253    16           
100.108.182.16     8.166.95.132       1            
100.108.183.129    221.116.133.191    331          
100.108.183.165    133.23.248.75      1            
100.108.183.40     133.178.226.51     20           
100.108.183.40     215.158.140.13     75           
100.108.183.40     215.158.65.132     23           
100.108.183.40     215.158.65.140     68           
100.108.183.40     215.158.65.141     16           
100.108.183.40     215.158.65.147     95           
100.108.183.40     215.158.65.211     7            
100.108.183.40     215.158.65.65      51           
100.108.183.40     215.158.65.94      9            
100.108.183.40     252.136.112.0      73           
100.108.183.40     252.136.112.197    5            
100.108.183.40     252.136.112.253    5            
100.108.186.42     129.46.136.113     1            
100.108.187.5      50.224.76.230      11           
100.108.190.207    50.224.76.232      9            
100.108.52.60      243.171.134.229    1            
100.108.52.85      243.171.132.0      1            
100.110.10.146     192.64.200.111     1            
100.110.10.146     50.224.76.230      6            
100.110.10.227     80.40.45.166       1            
100.110.103.204    50.224.90.224      6            
